phenomenon,model,layer,metric,n,raw_spearman,raw_p,surface_controlled_spearman,surface_controlled_p
negation,gpt2,3,delta_cos,1500,0.02014953881397858,0.43549867177578594,-0.028471528886398867,0.27046093313278063
negation,gpt2,4,delta_cos,1500,0.023130092963145152,0.37068146757010967,-0.017419071724430066,0.500230907647198
negation,gpt2,5,delta_cos,1500,0.06475283447271767,0.012127634918561697,0.02213108819906775,0.39170816525041724
negation,gpt2,6,delta_cos,1500,0.07949639205767077,0.0020617322920711612,0.04281254337381273,0.0974183604832556
negation,gpt2,7,delta_cos,1500,0.11679561199909895,5.753993613198735e-06,0.0848775242033504,0.0010001267218937553
negation,gpt2,8,delta_cos,1500,0.11879339619630884,3.962166544943321e-06,0.08918134824014404,0.000544218819923105
negation,gpt2,9,delta_cos,1500,0.11775534288309175,4.8134105096106e-06,0.09308607846967386,0.0003061457892791457
negation,gpt2,10,delta_cos,1500,0.08571429892066701,0.0008903892828953365,0.052977744751886616,0.04021346649869152
negation,gpt2,11,delta_cos,1500,0.08200015569096286,0.0014800919046006032,0.051107705144597115,0.0478119363994047
negation,gpt2,12,delta_cos,1500,0.019285781846475645,0.45543678109784735,-0.03706823068930534,0.15130342149455983
negation,gpt2,0,delta_frob,1500,0.13142478831073479,3.25608864255436e-07,0.10129025628196855,8.501834527581691e-05
negation,gpt2,1,delta_frob,1500,0.05400376534002727,0.03649765134185492,0.005718910223894841,0.824851373736123
negation,gpt2,2,delta_frob,1500,0.030637579800141868,0.23567066550681068,-0.019603005836697735,0.44805530003731237
negation,gpt2,3,delta_frob,1500,0.0049843430832765935,0.8470505638998894,-0.04887717165380266,0.05841670284035735
negation,gpt2,4,delta_frob,1500,-0.008853448628353116,0.7318892808373101,-0.05539099917482307,0.03194143697925388
negation,gpt2,5,delta_frob,1500,0.004461789265403139,0.8629177784054645,-0.04182211557329495,0.10542109176677497
negation,gpt2,6,delta_frob,1500,0.035634054428866496,0.16777499165310503,-0.0034938135439129075,0.8924518308395041
negation,gpt2,7,delta_frob,1500,0.08204494585768153,0.0014712221102606245,0.04721741597997588,0.06751686263223133
negation,gpt2,8,delta_frob,1500,0.09932528946718129,0.0001165953308434634,0.06814467342593154,0.008288133780361443
negation,gpt2,9,delta_frob,1500,0.1270235431529656,7.994419884453563e-07,0.10325254909049013,6.166888766076495e-05
negation,gpt2,10,delta_frob,1500,0.10015108995735895,0.0001021727094092196,0.0652303140378387,0.011505964476873225
negation,gpt2,11,delta_frob,1500,0.0988827215692828,0.0001250936968613353,0.06773885635883155,0.008681650745938222
